chapter	repo_file	visible_title	document_title
76	chapter-076.xhtml	The Hound of the Night (3)	Chapter 76: The Hound of the Night (3)
77	chapter-077.xhtml	The Saintess (1)	Chapter 77: The Saintess (1)
78	chapter-078.xhtml	The Saintess (2)	Chapter 78: The Saintess (2)
79	chapter-079.xhtml	The Saintess (3)	Chapter 79: The Saintess (3)
80	chapter-080.xhtml	The Saintess (4)	Chapter 80: The Saintess (4)
81	chapter-081.xhtml	The Saintess (5)	Chapter 81: The Saintess (5)
82	chapter-082.xhtml	Lovesickness (1)	Chapter 82: Lovesickness (1)
83	chapter-083.xhtml	Lovesickness (2)	Chapter 83: Lovesickness (2)
84	chapter-084.xhtml	The Illiad (1)	Chapter 84: The Illiad (1)
85	chapter-085.xhtml	The Illiad (2)	Chapter 85: The Illiad (2)
86	chapter-086.xhtml	The Illiad (3)	Chapter 86: The Illiad (3)
87	chapter-087.xhtml	The Illiad (4)	Chapter 87: The Illiad (4)
88	chapter-088.xhtml	The Illiad (5)	Chapter 88: The Illiad (5)
89	chapter-089.xhtml	The Ghosts of the Ancestors (1)	Chapter 89: The Ghosts of the Ancestors (1)
90	chapter-090.xhtml	The Ghosts of the Ancestors (2)	Chapter 90: The Ghosts of the Ancestors (2)
91	chapter-091.xhtml	The Ghosts of the Ancestors (3)	Chapter 91: The Ghosts of the Ancestors (3)
92	chapter-092.xhtml	The Ghosts of the Ancestors (4)	Chapter 92: The Ghosts of the Ancestors (4)
93	chapter-093.xhtml	The Ghosts of the Ancestors (5)	Chapter 93: The Ghosts of the Ancestors (5)
94	chapter-094.xhtml	Madam Eight-Legs (1)	Chapter 94: Madam Eight-Legs (1)
95	chapter-095.xhtml	Madam Eight-Legs (2)	Chapter 95: Madam Eight-Legs (2)
96	chapter-096.xhtml	Madam Eight-Legs (3)	Chapter 96: Madam Eight-Legs (3)
97	chapter-097.xhtml	Madam Eight-Legs (4)	Chapter 97: Madam Eight-Legs (4)
98	chapter-098.xhtml	Madam Eight-Legs (5)	Chapter 98: Madam Eight-Legs (5)
99	chapter-099.xhtml	Madam Eight-Legs (6)	Chapter 99: Madam Eight-Legs (6)
100	chapter-100.xhtml	Nostalgia (1)	Chapter 100: Nostalgia (1)
101	chapter-101.xhtml	Nostalgia (2)	Chapter 101: Nostalgia (2)
102	chapter-102.xhtml	Nostalgia (3)	Chapter 102: Nostalgia (3)
103	chapter-103.xhtml	Nostalgia (4)	Chapter 103: Nostalgia (4)
104	chapter-104.xhtml	The Returned Hero (1)	Chapter 104: The Returned Hero (1)
105	chapter-105.xhtml	The Returned Hero (2)	Chapter 105: The Returned Hero (2)
106	chapter-106.xhtml	The Returned Hero (3)	Chapter 106: The Returned Hero (3)
107	chapter-107.xhtml	The Returned Hero (4)	Chapter 107: The Returned Hero (4)
108	chapter-108.xhtml	The Returned Hero (5)	Chapter 108: The Returned Hero (5)
109	chapter-109.xhtml	The Great Banquet (1)	Chapter 109: The Great Banquet (1)
110	chapter-110.xhtml	The Great Banquet (2)	Chapter 110: The Great Banquet (2)
111	chapter-111.xhtml	The Great Banquet (3)	Chapter 111: The Great Banquet (3)
112	chapter-112.xhtml	The Great Banquet (4)	Chapter 112: The Great Banquet (4)
113	chapter-113.xhtml	The Great Banquet (5)	Chapter 113: The Great Banquet (5)
114	chapter-114.xhtml	The Great Banquet (6)	Chapter 114: The Great Banquet (6)
115	chapter-115.xhtml	The Great Banquet (7)	Chapter 115: The Great Banquet (7)
116	chapter-116.xhtml	Falling in Love (1)	Chapter 116: Falling in Love (1)
117	chapter-117.xhtml	Falling in Love (2)	Chapter 117: Falling in Love (2)
118	chapter-118.xhtml	Falling in Love (3)	Chapter 118: Falling in Love (3)
119	chapter-119.xhtml	The Hunt for the Second Son (1)	Chapter 119: The Hunt for the Second Son (1)
120	chapter-120.xhtml	The Hunt for the Second Son (2)	Chapter 120: The Hunt for the Second Son (2)
121	chapter-121.xhtml	The Hunt for the Second Son (3)	Chapter 121: The Hunt for the Second Son (3)
122	chapter-122.xhtml	The Hunt for the Second Son (4)	Chapter 122: The Hunt for the Second Son (4)
123	chapter-123.xhtml	The Hunt for the Second Son (5)	Chapter 123: The Hunt for the Second Son (5)
124	chapter-124.xhtml	The Hunt for the Second Son (6)	Chapter 124: The Hunt for the Second Son (6)
125	chapter-125.xhtml	Admission to the Academy (1)	Chapter 125: Admission to the Academy (1)
126	chapter-126.xhtml	Admission to the Academy (2)	Chapter 126: Admission to the Academy (2)
127	chapter-127.xhtml	Admission to the Academy (3)	Chapter 127: Admission to the Academy (3)
128	chapter-128.xhtml	Admission to the Academy (4)	Chapter 128: Admission to the Academy (4)
129	chapter-129.xhtml	The Freshman Talent Show (1)	Chapter 129: The Freshman Talent Show (1)
130	chapter-130.xhtml	The Freshman Talent Show (2)	Chapter 130: The Freshman Talent Show (2)
131	chapter-131.xhtml	The Freshman Talent Show (3)	Chapter 131: The Freshman Talent Show (3)
132	chapter-132.xhtml	Test Your Skills (1)	Chapter 132: Test Your Skills (1)
133	chapter-133.xhtml	Test Your Skills (2)	Chapter 133: Test Your Skills (2)
134	chapter-134.xhtml	Test Your Skills (3)	Chapter 134: Test Your Skills (3)
135	chapter-135.xhtml	Test Your Skills (4)	Chapter 135: Test Your Skills (4)
136	chapter-136.xhtml	Test Your Skills (5)	Chapter 136: Test Your Skills (5)
137	chapter-137.xhtml	Test your skills (6)	Chapter 137: Test your skills (6)
138	chapter-138.xhtml	Men are Power (1)	Chapter 138: Men are Power (1)
139	chapter-139.xhtml	Men are Power (2)	Chapter 139: Men are Power (2)
140	chapter-140.xhtml	Identity of the Villain (1)	Chapter 140: Identity of the Villain (1)
141	chapter-141.xhtml	Identity of the Villain (2)	Chapter 141: Identity of the Villain (2)
142	chapter-142.xhtml	Identity of the Villain (3)	Chapter 142: Identity of the Villain (3)
143	chapter-143.xhtml	Volunteering for the Golden Week (1)	Chapter 143: Volunteering for the Golden Week (1)
144	chapter-144.xhtml	Volunteering for the Golden Week (2)	Chapter 144: Volunteering for the Golden Week (2)
145	chapter-145.xhtml	Volunteering for the Golden Week (3)	Chapter 145: Volunteering for the Golden Week (3)
146	chapter-146.xhtml	Volunteering for the Golden Week (4)	Chapter 146: Volunteering for the Golden Week (4)
147	chapter-147.xhtml	Volunteering for the Golden Week (5)	Chapter 147: Volunteering for the Golden Week (5)
148	chapter-148.xhtml	Volunteering on the Golden Week (6)	Chapter 148: Volunteering on the Golden Week (6)
149	chapter-149.xhtml	Not Brother, But Uncle (1)	Chapter 149: Not Brother, But Uncle (1)
150	chapter-150.xhtml	Not Brother, But Uncle (2)	Chapter 150: Not Brother, But Uncle (2)
151	chapter-151.xhtml	The Drinking Game (1)	Chapter 151: The Drinking Game (1)
152	chapter-152.xhtml	The Drinking Game (2)	Chapter 152: The Drinking Game (2)
153	chapter-153.xhtml	The Drinking Game (3)	Chapter 153: The Drinking Game (3)
154	chapter-154.xhtml	How to Keep Your Night Shift Employees Safe (1)	Chapter 154: How to keep your night shift employees safe (1)
155	chapter-155.xhtml	How to Keep Your Night Shift Employees Safe (2)	Chapter 155: How to keep your night shift employees safe (2)
156	chapter-156.xhtml	How to Keep Your Night Shift Employees Safe (3)	Chapter 156: How to Keep Your Night Shift Employees Safe (3)
157	chapter-157.xhtml	Familiar Face (1)	Chapter 157: Familiar Faces (1)
158	chapter-158.xhtml	Familiar Faces (2)	Chapter 158: Familiar Face (2)
159	chapter-159.xhtml	Familiar Faces (3)	Chapter 159: Familiar Face (3)
160	chapter-160.xhtml	Familiar Face (4)	Chapter 160: Familiar Face (4)
161	chapter-161.xhtml	Sin and Punishment (1)	Chapter 161: Sin and Punishment (1)
162	chapter-162.xhtml	Sin and Punishment (2)	Chapter 162: Sin and Punishment (2)
163	chapter-163.xhtml	Sin and Punishment (3)	Chapter 163: Sin and Punishment (3)
164	chapter-164.xhtml	Sin and Punishment (4)	Chapter 164: Sin and Punishment (4)
165	chapter-165.xhtml	Sin and Punishment (5)	Chapter 165: Sin and Punishment (5)
166	chapter-166.xhtml	Sin and Punishment (6)	Chapter 166: Sin and Punishment (6)
167	chapter-167.xhtml	Sin and Punishment (8)	Chapter 167: Sin and Punishment (8)
168	chapter-168.xhtml	Adorable Pet (1)	Chapter 168: Adorable Pet (1)
169	chapter-169.xhtml	Adorable Pet (2)	Chapter 169: Adorable Pet (2)
170	chapter-170.xhtml	The Anti-Columnist (1)	Chapter 170: The Anti-Columnist (1)
171	chapter-171.xhtml	The Anti-Columnist (2)	Chapter 171: The Anti-Columnist (2)
172	chapter-172.xhtml	The Anti-Columnist (3)	Chapter 172: The Anti-Columnist (3)
173	chapter-173.xhtml	The Anti-Columnist (4)	Chapter 173: The Anti-Columnist (4)
174	chapter-174.xhtml	The 99 Hits With 100 Shots (1)	Chapter 174: The 99 Hits With 100 Shots (1)
175	chapter-175.xhtml	The 99 Hits With 100 Shots (2)	Chapter 175: The 99 Hits With 100 Shots (2)
176	chapter-176.xhtml	The 99 Hits With 100 Shots (3)	Chapter 176: The 99 Hits With 100 Shots (3)
177	chapter-177.xhtml	Midterm Random Defense (1)	Chapter 177: Midterm Random Defense (1)
178	chapter-178.xhtml	Midterm Random Defense (2)	Chapter 178: Midterm Random Defense (2)
179	chapter-179.xhtml	Midterm Random Defense (3)	Chapter 179: Midterm Random Defense (3)
180	chapter-180.xhtml	Midterm Random Defense (4)	Chapter 180: Midterm Random Defense (4)
181	chapter-181.xhtml	Midterm Random Defense (5)	Chapter 181: Midterm Random Defense (5)
182	chapter-182.xhtml	Midterm Random Defense (6)	Chapter 182: Midterm Random Defense (6)
183	chapter-183.xhtml	Midterm Random Defense (7)	Chapter 183: Midterm Random Defense (7)
184	chapter-184.xhtml	Aftermath (1)	Chapter 184: Aftermath (1)
185	chapter-185.xhtml	Aftermath (2)	Chapter 185: Aftermath (2)
186	chapter-186.xhtml	Aftermath (3)	Chapter 186: Aftermath (3)
187	chapter-187.xhtml	Aftermath (4)	Chapter 187: Aftermath (4)
188	chapter-188.xhtml	Attack Land (1)	Chapter 188: Attack Land (1)
189	chapter-189.xhtml	Attack Land (2)	Chapter 189: Attack Land (2)
190	chapter-190.xhtml	Attack Land (3)	Chapter 190: Attack Land (3)
191	chapter-191.xhtml	Attack Land (4)	Chapter 191: Attack Land (4)
192	chapter-192.xhtml	Attack Land (5)	Chapter 192: Attack Land (5)
193	chapter-193.xhtml	Attack Land (6)	Chapter 193: Attack Land (6)
194	chapter-194.xhtml	Attack Land (7)	Chapter 194: Attack Land (7)
195	chapter-195.xhtml	Preparing for the Festival (1)	Chapter 195: Preparing for the Festival (1)
196	chapter-196.xhtml	The Corpse Queen (1)	Chapter 196: The Corpse Queen (1)
197	chapter-197.xhtml	The Corpse Queen (2)	Chapter 197: The Corpse Queen (2)
198	chapter-198.xhtml	The Corpse Queen (3)	Chapter 198: The Corpse Queen (3)
199	chapter-199.xhtml	The Corpse Queen (4)	Chapter 199: The Corpse Queen (4)
200	chapter-200.xhtml	The Corpse Queen (5)	Chapter 200: The Corpse Queen (5)
201	chapter-201.xhtml	Mixed Bath (1)	Chapter 201: Mixed Bath (1)
202	chapter-202.xhtml	Mixed Bath (2)	Chapter 202: Mixed Bath (2)
203	chapter-203.xhtml	Mixed Bath (3)	Chapter 203: Mixed Bath (3)
204	chapter-204.xhtml	Festival Night (1)	Chapter 204: Festival Night (1)
205	chapter-205.xhtml	Festival Night (2)	Chapter 205: Festival Night (2)
206	chapter-206.xhtml	Festival Night (3)	Chapter 206: Festival Night (3)
207	chapter-207.xhtml	Festival Night (4)	Chapter 207: Festival Night (4)
208	chapter-208.xhtml	Festival Night (5)	Chapter 208: Festival Night (5)
209	chapter-209.xhtml	Festival Night (6)	Chapter 209: Festival Night (6)
210	chapter-210.xhtml	Festival Night (7)	Chapter 210: Festival Night (7)
211	chapter-211.xhtml	Festival Night (8)	Chapter 211: Festival Night (8)
212	chapter-212.xhtml	Festival Night (9)	Chapter 212: Festival Night (9)
213	chapter-213.xhtml	Festival Night (10)	Chapter 213: Festival Night (10)
214	chapter-214.xhtml	My Neck Will Be Your Sheath (1)	Chapter 214: My Neck Will Be Your Sheath (1)
215	chapter-215.xhtml	My Neck Will Be Your Sheath (2)	Chapter 215: My Neck Will Be Your Sheath (2)
216	chapter-216.xhtml	My Neck Will Be Your Sheath (3)	Chapter 216: My Neck Will Be Your Sheath (3)
217	chapter-217.xhtml	My Neck Will Be Your Sheath (4)	Chapter 217: My Neck Will Be Your Sheath (4)
218	chapter-218.xhtml	That Day, Him and Me (1)	Chapter 218: That Day, Him and Me (1)
219	chapter-219.xhtml	That Day, Him and Me (2)	Chapter 219: That Day, Him and Me (2)
220	chapter-220.xhtml	That Day, Him and Me (3)	Chapter 220: That Day, Him and Me (3)
221	chapter-221.xhtml	That Day, Him and Me (4)	Chapter 221: That Day, Him and Me (4)
222	chapter-222.xhtml	That Day, Him and Me (5)	Chapter 222: That Day, Him and Me (5)
223	chapter-223.xhtml	Tuition (1)	Chapter 223: Tuition (1)
224	chapter-224.xhtml	Tuition (2)	Chapter 224: Tuition (2)
225	chapter-225.xhtml	Tuition (3)	Chapter 225: Tuition (3)
226	chapter-226.xhtml	Tuition (4)	Chapter 226: Tuition (4)
227	chapter-227.xhtml	Tuition (5)	Chapter 227: Tuition (5)
228	chapter-228.xhtml	Tuition (6)	Chapter 228: Tuition (6)
229	chapter-229.xhtml	Tuition (7)	Chapter 229: Tuition (7)
230	chapter-230.xhtml	Tuition (8)	Chapter 230: Tuition (8)
231	chapter-231.xhtml	Tuition (9)	Chapter 231: Tuition (9)
232	chapter-232.xhtml	Suspicion (1)	Chapter 232: Suspicion (1)
233	chapter-233.xhtml	Suspicion (2)	Chapter 233: Suspicion (2)
234	chapter-234.xhtml	National University League (1)	Chapter 234: National University League (1)
235	chapter-235.xhtml	National University League (2)	Chapter 235: National University League (2)
236	chapter-236.xhtml	National University League (3)	Chapter 236: National University League (3)
237	chapter-237.xhtml	National University League (4)	Chapter 237: National University League (4)
238	chapter-238.xhtml	National University League (5)	Chapter 238: National University League (5)
239	chapter-239.xhtml	National University League (6)	Chapter 239: National University League (6)
240	chapter-240.xhtml	National University League (7)	Chapter 240: National University League (7)
241	chapter-241.xhtml	National University League (8)	Chapter 241: National University League (8)
242	chapter-242.xhtml	National University League (9)	Chapter 242: National University League (9)
243	chapter-243.xhtml	Survival Contest (1)	Chapter 243: Survival Contest (1)
244	chapter-244.xhtml	Survival Contest (2)	Chapter 244: Survival Contest (2)
245	chapter-245.xhtml	Survival Contest (3)	Chapter 245: Survival Contest (3)
246	chapter-246.xhtml	Survival Contest (4)	Chapter 246: Survival Contest (4)
247	chapter-247.xhtml	Survival Contest (5)	Chapter 247: Survival Contest (5)
248	chapter-248.xhtml	Recap (1)	Chapter 248: Recap (1)
249	chapter-249.xhtml	Recap (2)	Chapter 249: Recap (2)
250	chapter-250.xhtml	Recap (3)	Chapter 250: Recap (3)
251	chapter-251.xhtml	Five Stars (1)	Chapter 251: Five Stars (1)
252	chapter-252.xhtml	Five Stars (2)	Chapter 252: Five Stars (2)
253	chapter-253.xhtml	The Grave of Swords (1)	Chapter 253: The Grave of Swords (1)
254	chapter-254.xhtml	The Grave of Swords (2)	Chapter 254: The Grave of Swords (2)
255	chapter-255.xhtml	The Grave of Swords (3)	Chapter 255: The Grave of Swords (3)
256	chapter-256.xhtml	The Grave of Swords (4)	Chapter 256: The Grave of Swords (4)
257	chapter-257.xhtml	The Grave of Swords (5)	Chapter 257: The Grave of Swords (5)
258	chapter-258.xhtml	The Grave of Swords (6)	Chapter 258: The Grave of Swords (6)
259	chapter-259.xhtml	The Inverted Pentagram (1)	Chapter 259: The Inverted Pentagram (1)
260	chapter-260.xhtml	The Inverted Pentagram (2)	Chapter 260: The Inverted Pentagram (2)
261	chapter-261.xhtml	The Inverted Pentagram (3)	Chapter 261: The Inverted Pentagram (3)
262	chapter-262.xhtml	The Season of Redemption (1)	Chapter 262: The Season of Redemption (1)
263	chapter-263.xhtml	The Season of Redemption (2)	Chapter 263: The Season of Redemption (2)
264	chapter-264.xhtml	The Season of Redemption (3)	Chapter 264: The Season of Redemption (3)
265	chapter-265.xhtml	The Season of Redemption (4)	Chapter 265: The Season of Redemption (4)
266	chapter-266.xhtml	The Eucharist (1)	Chapter 266: The Eucharist (1)
267	chapter-267.xhtml	The Eucharist (2)	Chapter 267: The Eucharist (2)
268	chapter-268.xhtml	Rich Friends (1)	Chapter 268: Rich Friends (1)
269	chapter-269.xhtml	Rich Friend (2)	Chapter 269: Rich Friend (2)
270	chapter-270.xhtml	Rich Friend (3)	Chapter 270: Rich Friend (3)
271	chapter-271.xhtml	Money War (1)	Chapter 271: Money War (1)
272	chapter-272.xhtml	Money War (2)	Chapter 272: Money War (2)
273	chapter-273.xhtml	Money War (3)	Chapter 273: Money War (3)
274	chapter-274.xhtml	Money War (4)	Chapter 274: Money War (4)
275	chapter-275.xhtml	Money War (5)	Chapter 275: Money War (5)
276	chapter-276.xhtml	Money War (6)	Chapter 276: Money War (6)
277	chapter-277.xhtml	What Money Can’t Buy (1)	Chapter 277: What Money Can’t Buy (1)
278	chapter-278.xhtml	What Money Can’t Buy (2)	Chapter 278: What Money Can’t Buy (2)
279	chapter-279.xhtml	What Money Can’t Buy (3)	Chapter 279: What Money Can’t Buy (3)
280	chapter-280.xhtml	What Money Can’t Buy (4)	Chapter 280: What Money Can’t Buy (4)
281	chapter-281.xhtml	Power inflation (1)	Chapter 281: Power inflation (1)
282	chapter-282.xhtml	Power inflation (2)	Chapter 282: Power inflation (2)
283	chapter-283.xhtml	Power inflation (3)	Chapter 283: Power inflation (3)
284	chapter-284.xhtml	Power inflation (4)	Chapter 284: Power inflation (4)
285	chapter-285.xhtml	Power inflation (5)	Chapter 285: Power inflation (5)
286	chapter-286.xhtml	Power inflation (6)	Chapter 286: Power inflation (6)
287	chapter-287.xhtml	Power inflation (7)	Chapter 287: Power inflation (7)
288	chapter-288.xhtml	Power inflation (8)	Chapter 288: Power inflation (8)
289	chapter-289.xhtml	The Successors (1)	Chapter 289: The Successors (1)
290	chapter-290.xhtml	The Successors (2)	Chapter 290: The Successors (2)
291	chapter-291.xhtml	Confessions (1)	Chapter 291: Confessions (1)
292	chapter-292.xhtml	Confessions (2)	Chapter 292: Confessions (2)
293	chapter-293.xhtml	Confession (3)	Chapter 293: Confession (3)
294	chapter-294.xhtml	Last Semester (1)	Chapter 294: Last Semester (1)
295	chapter-295.xhtml	Last Semester (2)	Chapter 295: Last Semester (2)
296	chapter-296.xhtml	Last Semester (3)	Chapter 296: Last Semester (3)
297	chapter-297.xhtml	The Age of the Warmonger (1)	Chapter 297: The Age of the Warmonger (1)
298	chapter-298.xhtml	The Age of the Warmonger (2)	Chapter 298: The Age of the Warmonger (2)
299	chapter-299.xhtml	The Age of the Warmonger (3)	Chapter 299: The Age of the Warmonger (3)
300	chapter-300.xhtml	The Age of the Warmonger (4)	Chapter 300: The Age of the Warmonger (4)
301	chapter-301.xhtml	The Age of the Warmongers (5)	Chapter 301: The Age of the Warmongers (5)
302	chapter-302.xhtml	The Age of the Warmonger (6)	Chapter 302: The Age of the Warmonger (6)
303	chapter-303.xhtml	The Age of Warmonger (7)	Chapter 303: The Age of Warmonger (7)
304	chapter-304.xhtml	The Age of Warmongers (8)	Chapter 304: The Age of Warmongers (8)
305	chapter-305.xhtml	Hell Tree (1)	Chapter 305: Hell Tree (1)
306	chapter-306.xhtml	Hell Tree (2)	Chapter 306: Hell Tree (2)
307	chapter-307.xhtml	Hell Tree (3)	Chapter 307: Hell Tree (3)
308	chapter-308.xhtml	Hell Tree (4)	Chapter 308: Hell Tree (4)
309	chapter-309.xhtml	Hell Tree (5)	Chapter 309: Hell Tree (5)
310	chapter-310.xhtml	Hell Tree (6)	Chapter 310: Hell Tree (6)
311	chapter-311.xhtml	Hell Tree (7)	Chapter 311: Hell Tree (7)
312	chapter-312.xhtml	Surplus Man (1)	Chapter 312: Surplus Man (1)
313	chapter-313.xhtml	Surplus Man (2)	Chapter 313: Surplus Man (2)
314	chapter-314.xhtml	Surplus Man (3)	Chapter 314: Surplus Man (3)
315	chapter-315.xhtml	Surplus Man (4)	Chapter 315: Surplus Man (4)
316	chapter-316.xhtml	Surplus Man (5)	Chapter 316: Surplus Man (5)
317	chapter-317.xhtml	Surplus Man (6)	Chapter 317: Surplus Man (6)
318	chapter-318.xhtml	Surplus Man (7)	Chapter 318: Surplus Man (7)
319	chapter-319.xhtml	Underdogma (1)	Chapter 319: Underdogma (1)
320	chapter-320.xhtml	Underdogma (2)	Chapter 320: Underdogma (2)
321	chapter-321.xhtml	Underdogma (3)	Chapter 321: Underdogma (3)
322	chapter-322.xhtml	Underdogma (4)	Chapter 322: Underdogma (4)
323	chapter-323.xhtml	Underdogma (5)	Chapter 323: Underdogma (5)
324	chapter-324.xhtml	The Shadowless King of the Black Sea (1)	Chapter 324: The Shadowless King of the Black Sea (1)
325	chapter-325.xhtml	The Shadowless King of the Black Sea (2)	Chapter 325: The Shadowless King of the Black Sea (2)
326	chapter-326.xhtml	The Shadowless King of the Black Sea (3)	Chapter 326: The Shadowless King of the Black Sea (3)
